mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.5143918991088867,0.43544669854434753,0.5538911819458008,0.36249763289302883,0.005,90,"{'randomforestclassifier__min_samples_split': 0.005, 'randomforestclassifier__n_estimators': 90}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.502648663520813,0.3977267316541614,0.4847436428070068,0.3020819369207543,0.005,95,"{'randomforestclassifier__min_samples_split': 0.005, 'randomforestclassifier__n_estimators': 95}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.742844557762146,0.4298801516520658,0.48221986293792723,0.19152252686448373,0.005,100,"{'randomforestclassifier__min_samples_split': 0.005, 'randomforestclassifier__n_estimators': 100}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.982578659057617,0.16361815770479987,0.4458524942398071,0.2184370916562656,0.005,105,"{'randomforestclassifier__min_samples_split': 0.005, 'randomforestclassifier__n_estimators': 105}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.6565258741378783,0.2935038375132123,0.4168864727020264,0.1889797702987687,0.006,90,"{'randomforestclassifier__min_samples_split': 0.006, 'randomforestclassifier__n_estimators': 90}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.6664336681365968,0.2648003994849417,0.38401825428009034,0.164258875030759,0.006,95,"{'randomforestclassifier__min_samples_split': 0.006, 'randomforestclassifier__n_estimators': 95}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.8334147214889527,0.31013830736016335,0.47684531211853026,0.247959901890044,0.006,100,"{'randomforestclassifier__min_samples_split': 0.006, 'randomforestclassifier__n_estimators': 100}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.7889563322067261,0.2806256360817623,0.5187611818313599,0.17012705755163407,0.006,105,"{'randomforestclassifier__min_samples_split': 0.006, 'randomforestclassifier__n_estimators': 105}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.6655767917633058,0.23946431790107922,0.3730326175689697,0.17066336426825515,0.007,90,"{'randomforestclassifier__min_samples_split': 0.007, 'randomforestclassifier__n_estimators': 90}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.655410099029541,0.3005319994225739,0.4323436737060547,0.2523738688228229,0.007,95,"{'randomforestclassifier__min_samples_split': 0.007, 'randomforestclassifier__n_estimators': 95}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.733339524269104,0.2754740224669438,0.4210991382598877,0.2442089257408128,0.007,100,"{'randomforestclassifier__min_samples_split': 0.007, 'randomforestclassifier__n_estimators': 100}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.8783755779266358,0.36236555462911296,0.5660066366195678,0.29982186614424017,0.007,105,"{'randomforestclassifier__min_samples_split': 0.007, 'randomforestclassifier__n_estimators': 105}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
1.491302227973938,0.4123076711658731,0.44597957134246824,0.2606309847094214,0.008,90,"{'randomforestclassifier__min_samples_split': 0.008, 'randomforestclassifier__n_estimators': 90}",0.9067701163809285,0.9085220873482668,0.9042673007133024,0.9096483543986985,0.910274058315605,0.9098873591989988,0.9112640801001252,0.9055068836045056,0.9058823529411765,0.9108774565026913,0.9082900049504298,0.0023656241377810147,1
